PRCP Precipitation
SNOW Snowfall
SNWD Snow depth
TMAX Maximum temperature
TMIN Minimum temperature
ACMC Average cloudiness midnight to midnight from ceilometer data
ACMH Average cloudiness midnight to midnight from manual observations
ACSC Average cloudiness sunrise to sunset from ceilometer data
ACSH Average cloudiness sunrise to sunset from manual observations
ADPT Average Dew Point Temperature for the day
ASLP Average Sea Level Pressure for the day
ASTP Average Station Level Pressure for the day
AWBT Average Wet Bulb Temperature for the day
AWDR Average daily wind direction
AWND Average daily wind speed
DAEV Number of days in multiday evaporation total
DAPR Number of days in multiday precipitation total
DASF Number of days in multiday snowfall total
DATN Number of days in multiday minimum temperature
DATX Number of days in multiday maximum temperature
DAWM Number of days in multiday wind movement
DWPR Number of days with non-zero precipitation in multiday total
EVAP Evaporation of water from evaporation pan
FMTM Time of fastest mile or 1-minute wind
FRGB Base of frozen ground layer
FRGT Top of frozen ground layer
FRTH Thickness of frozen ground layer
GAHT Difference between river and gauge height
MDEV Multiday evaporation total
MDPR Multiday precipitation total
MDSF Multiday snowfall total
MDTN Multiday minimum temperature
MDTX Multiday maximum temperature
MDWM Multiday wind movement
MNPN Daily minimum temperature of water in an evaporation pan
MXPN Daily maximum temperature of water in an evaporation pan
PGTM Peak gust time
PSUN Daily percent of possible sunshine
RHAV Average relative humidity for the day
RHMN Minimum relative humidity for the day
RHMX Maximum relative humidity for the day
SN01 Min soil temp, unknown cover, 5 cm depth
SN02 Min soil temp, unknown cover, 10 cm depth
SN03 Min soil temp, unknown cover, 20 cm depth
SN04 Min soil temp, unknown cover, 50 cm depth
SN05 Min soil temp, unknown cover, 100 cm depth
SN06 Min soil temp, unknown cover, 150 cm depth
SN07 Min soil temp, unknown cover, 180 cm depth
SN11 Min soil temp, grass cover, 5 cm depth
SN12 Min soil temp, grass cover, 10 cm depth
SN13 Min soil temp, grass cover, 20 cm depth
SN14 Min soil temp, grass cover, 50 cm depth
SN15 Min soil temp, grass cover, 100 cm depth
SN16 Min soil temp, grass cover, 150 cm depth
SN17 Min soil temp, grass cover, 180 cm depth
SN21 Min soil temp, fallow cover, 5 cm depth
SN22 Min soil temp, fallow cover, 10 cm depth
SN23 Min soil temp, fallow cover, 20 cm depth
SN24 Min soil temp, fallow cover, 50 cm depth
SN25 Min soil temp, fallow cover, 100 cm depth
SN26 Min soil temp, fallow cover, 150 cm depth
SN27 Min soil temp, fallow cover, 180 cm depth
SN31 Min soil temp, bare ground cover, 5 cm depth
SN32 Min soil temp, bare ground cover, 10 cm depth
SN33 Min soil temp, bare ground cover, 20 cm depth
SN34 Min soil temp, bare ground cover, 50 cm depth
SN35 Min soil temp, bare ground cover, 100 cm depth
SN36 Min soil temp, bare ground cover, 150 cm depth
SN37 Min soil temp, bare ground cover, 180 cm depth
SN41 Min soil temp, brome grass cover, 5 cm depth
